Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;;A Total Delitos;;;;2021;410.842
Total Nacional;;A Total Delitos;;;;2020;311.271
Total Nacional;;A Total Delitos;;;;2019;412.571
Total Nacional;;A Total Delitos;;;;2018;406.327
Total Nacional;;A Total Delitos;;;;2017;394.301
Total Nacional;;A Total Delitos;;;;2016;365.202
Total Nacional;;A Total Delitos;;;;2015;288.756
Total Nacional;;A Total Delitos;;;;2014;277.956
Total Nacional;;A Total Delitos;;;;2013;275.196
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2021;1.145
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2020;1.036
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2019;1.099
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2018;1.087
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2017;1.158
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2016;1.252
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2015;1.355
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2014;1.295
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2013;1.427
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2021;401
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2020;352
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2019;340
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2018;329
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2017;364
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2016;430
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2015;463
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2014;492
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2013;513
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2021;184
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2020;219
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2019;205
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2018;170
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2017;200
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2016;202
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2015;264
