Lugar de condena;Edad;Sexo;Periodo;Total
Total Nacional;Total;Total;2021;13.595
Total Nacional;Total;Total;2020;11.238
Total Nacional;Total;Total;2019;14.112
Total Nacional;Total;Total;2018;13.664
Total Nacional;Total;Total;2017;13.643
Total Nacional;Total;Total;2016;12.928
Total Nacional;Total;Total;2015;13.981
Total Nacional;Total;Total;2014;15.048
Total Nacional;Total;Total;2013;14.744
Total Nacional;Total;Hombres;2021;11.016
Total Nacional;Total;Hombres;2020;9.082
Total Nacional;Total;Hombres;2019;11.160
Total Nacional;Total;Hombres;2018;10.753
Total Nacional;Total;Hombres;2017;10.819
Total Nacional;Total;Hombres;2016;10.346
Total Nacional;Total;Hombres;2015;11.141
Total Nacional;Total;Hombres;2014;12.147
Total Nacional;Total;Hombres;2013;11.988
Total Nacional;Total;Mujeres;2021;2.579
Total Nacional;Total;Mujeres;2020;2.156
Total Nacional;Total;Mujeres;2019;2.952
Total Nacional;Total;Mujeres;2018;2.911
Total Nacional;Total;Mujeres;2017;2.824
Total Nacional;Total;Mujeres;2016;2.582
Total Nacional;Total;Mujeres;2015;2.840
Total Nacional;Total;Mujeres;2014;2.901
Total Nacional;Total;Mujeres;2013;2.756
Total Nacional;14 años;Total;2021;2.341
Total Nacional;14 años;Total;2020;1.944
Total Nacional;14 años;Total;2019;2.544
Total Nacional;14 años;Total;2018;2.580
Total Nacional;14 años;Total;2017;2.423
Total Nacional;14 años;Total;2016;2.262
Total Nacional;14 años;Total;2015;2.440
Total Nacional;14 años;Total;2014;2.558
Total Nacional;14 años;Total;2013;2.403
Total Nacional;14 años;Hombres;2021;1.766
Total Nacional;14 años;Hombres;2020;1.482
Total Nacional;14 años;Hombres;2019;1.882
Total Nacional;14 años;Hombres;2018;1.899
Total Nacional;14 años;Hombres;2017;1.816
Total Nacional;14 años;Hombres;2016;1.712
Total Nacional;14 años;Hombres;2015;1.878
Total Nacional;14 años;Hombres;2014;1.944
Total Nacional;14 años;Hombres;2013;1.853
Total Nacional;14 años;Mujeres;2021;575
Total Nacional;14 años;Mujeres;2020;462
Total Nacional;14 años;Mujeres;2019;662
Total Nacional;14 años;Mujeres;2018;681
Total Nacional;14 años;Mujeres;2017;607
Total Nacional;14 años;Mujeres;2016;550
Total Nacional;14 años;Mujeres;2015;562
Total Nacional;14 años;Mujeres;2014;614
Total Nacional;14 años;Mujeres;2013;550
Total Nacional;15 años;Total;2021;3.175
Total Nacional;15 años;Total;2020;2.592
Total Nacional;15 años;Total;2019;3.252
Total Nacional;15 años;Total;2018;3.080
Total Nacional;15 años;Total;2017;3.217
Total Nacional;15 años;Total;2016;3.119
Total Nacional;15 años;Total;2015;3.206
Total Nacional;15 años;Total;2014;3.416
Total Nacional;15 años;Total;2013;3.323
Total Nacional;15 años;Hombres;2021;2.505
Total Nacional;15 años;Hombres;2020;2.030
Total Nacional;15 años;Hombres;2019;2.530
Total Nacional;15 años;Hombres;2018;2.351
Total Nacional;15 años;Hombres;2017;2.457
Total Nacional;15 años;Hombres;2016;2.444
Total Nacional;15 años;Hombres;2015;2.494
Total Nacional;15 años;Hombres;2014;2.706
Total Nacional;15 años;Hombres;2013;2.627
Total Nacional;15 años;Mujeres;2021;670
Total Nacional;15 años;Mujeres;2020;562
Total Nacional;15 años;Mujeres;2019;722
Total Nacional;15 años;Mujeres;2018;729
Total Nacional;15 años;Mujeres;2017;760
Total Nacional;15 años;Mujeres;2016;675
Total Nacional;15 años;Mujeres;2015;712
Total Nacional;15 años;Mujeres;2014;710
Total Nacional;15 años;Mujeres;2013;696
Total Nacional;16 años;Total;2021;3.911
Total Nacional;16 años;Total;2020;3.247
Total Nacional;16 años;Total;2019;4.028
Total Nacional;16 años;Total;2018;3.913
Total Nacional;16 años;Total;2017;3.911
Total Nacional;16 años;Total;2016;3.640
Total Nacional;16 años;Total;2015;3.929
Total Nacional;16 años;Total;2014;4.223
Total Nacional;16 años;Total;2013;4.219
Total Nacional;16 años;Hombres;2021;3.215
Total Nacional;16 años;Hombres;2020;2.670
Total Nacional;16 años;Hombres;2019;3.218
Total Nacional;16 años;Hombres;2018;3.119
Total Nacional;16 años;Hombres;2017;3.125
Total Nacional;16 años;Hombres;2016;2.935
Total Nacional;16 años;Hombres;2015;3.143
Total Nacional;16 años;Hombres;2014;3.423
Total Nacional;16 años;Hombres;2013;3.462
Total Nacional;16 años;Mujeres;2021;696
Total Nacional;16 años;Mujeres;2020;577
Total Nacional;16 años;Mujeres;2019;810
Total Nacional;16 años;Mujeres;2018;794
Total Nacional;16 años;Mujeres;2017;786
Total Nacional;16 años;Mujeres;2016;705
Total Nacional;16 años;Mujeres;2015;786
Total Nacional;16 años;Mujeres;2014;800
Total Nacional;16 años;Mujeres;2013;757
Total Nacional;17 años;Total;2021;4.168
Total Nacional;17 años;Total;2020;3.455
Total Nacional;17 años;Total;2019;4.288
Total Nacional;17 años;Total;2018;4.091
Total Nacional;17 años;Total;2017;4.092
Total Nacional;17 años;Total;2016;3.907
Total Nacional;17 años;Total;2015;4.406
Total Nacional;17 años;Total;2014;4.851
Total Nacional;17 años;Total;2013;4.799
