Lugar de condena;Sexo;Nacionalidad;Periodo;Total
Total Nacional;Total;Total;2021;13.595
Total Nacional;Total;Total;2020;11.238
Total Nacional;Total;Total;2019;14.112
Total Nacional;Total;Total;2018;13.664
Total Nacional;Total;Total;2017;13.643
Total Nacional;Total;Total;2016;12.928
Total Nacional;Total;Total;2015;13.981
Total Nacional;Total;Total;2014;15.048
Total Nacional;Total;Total;2013;14.744
Total Nacional;Total;Española;2021;10.791
Total Nacional;Total;Española;2020;8.911
Total Nacional;Total;Española;2019;11.250
Total Nacional;Total;Española;2018;11.162
Total Nacional;Total;Española;2017;10.993
Total Nacional;Total;Española;2016;10.340
Total Nacional;Total;Española;2015;11.128
Total Nacional;Total;Española;2014;11.764
Total Nacional;Total;Española;2013;11.212
Total Nacional;Total;Extranjera;2021;2.804
Total Nacional;Total;Extranjera;2020;2.327
Total Nacional;Total;Extranjera;2019;2.862
Total Nacional;Total;Extranjera;2018;2.502
Total Nacional;Total;Extranjera;2017;2.650
Total Nacional;Total;Extranjera;2016;2.588
Total Nacional;Total;Extranjera;2015;2.853
Total Nacional;Total;Extranjera;2014;3.284
Total Nacional;Total;Extranjera;2013;3.532
Total Nacional;Hombres;Total;2021;11.016
Total Nacional;Hombres;Total;2020;9.082
Total Nacional;Hombres;Total;2019;11.160
Total Nacional;Hombres;Total;2018;10.753
Total Nacional;Hombres;Total;2017;10.819
Total Nacional;Hombres;Total;2016;10.346
Total Nacional;Hombres;Total;2015;11.141
Total Nacional;Hombres;Total;2014;12.147
Total Nacional;Hombres;Total;2013;11.988
Total Nacional;Hombres;Española;2021;8.479
Total Nacional;Hombres;Española;2020;6.997
Total Nacional;Hombres;Española;2019;8.599
Total Nacional;Hombres;Española;2018;8.567
Total Nacional;Hombres;Española;2017;8.508
Total Nacional;Hombres;Española;2016;8.100
Total Nacional;Hombres;Española;2015;8.658
Total Nacional;Hombres;Española;2014;9.315
Total Nacional;Hombres;Española;2013;8.902
Total Nacional;Hombres;Extranjera;2021;2.537
Total Nacional;Hombres;Extranjera;2020;2.085
Total Nacional;Hombres;Extranjera;2019;2.561
Total Nacional;Hombres;Extranjera;2018;2.186
Total Nacional;Hombres;Extranjera;2017;2.311
Total Nacional;Hombres;Extranjera;2016;2.246
Total Nacional;Hombres;Extranjera;2015;2.483
Total Nacional;Hombres;Extranjera;2014;2.832
Total Nacional;Hombres;Extranjera;2013;3.086
Total Nacional;Mujeres;Total;2021;2.579
Total Nacional;Mujeres;Total;2020;2.156
Total Nacional;Mujeres;Total;2019;2.952
Total Nacional;Mujeres;Total;2018;2.911
Total Nacional;Mujeres;Total;2017;2.824
Total Nacional;Mujeres;Total;2016;2.582
Total Nacional;Mujeres;Total;2015;2.840
Total Nacional;Mujeres;Total;2014;2.901
Total Nacional;Mujeres;Total;2013;2.756
Total Nacional;Mujeres;Española;2021;2.312
Total Nacional;Mujeres;Española;2020;1.914
Total Nacional;Mujeres;Española;2019;2.651
Total Nacional;Mujeres;Española;2018;2.595
Total Nacional;Mujeres;Española;2017;2.485
Total Nacional;Mujeres;Española;2016;2.240
Total Nacional;Mujeres;Española;2015;2.470
Total Nacional;Mujeres;Española;2014;2.449
Total Nacional;Mujeres;Española;2013;2.310
Total Nacional;Mujeres;Extranjera;2021;267
Total Nacional;Mujeres;Extranjera;2020;242
Total Nacional;Mujeres;Extranjera;2019;301
Total Nacional;Mujeres;Extranjera;2018;316
Total Nacional;Mujeres;Extranjera;2017;339
Total Nacional;Mujeres;Extranjera;2016;342
Total Nacional;Mujeres;Extranjera;2015;370
Total Nacional;Mujeres;Extranjera;2014;452
Total Nacional;Mujeres;Extranjera;2013;446
01 Andalucía;Total;Total;2021;2.603
01 Andalucía;Total;Total;2020;2.382
01 Andalucía;Total;Total;2019;2.975
01 Andalucía;Total;Total;2018;2.775
01 Andalucía;Total;Total;2017;2.821
01 Andalucía;Total;Total;2016;2.975
01 Andalucía;Total;Total;2015;3.128
01 Andalucía;Total;Total;2014;3.398
01 Andalucía;Total;Total;2013;3.423
01 Andalucía;Total;Española;2021;2.300
01 Andalucía;Total;Española;2020;2.080
01 Andalucía;Total;Española;2019;2.566
01 Andalucía;Total;Española;2018;2.435
01 Andalucía;Total;Española;2017;2.487
01 Andalucía;Total;Española;2016;2.575
01 Andalucía;Total;Española;2015;2.710
01 Andalucía;Total;Española;2014;2.969
01 Andalucía;Total;Española;2013;2.945
01 Andalucía;Total;Extranjera;2021;303
01 Andalucía;Total;Extranjera;2020;302
01 Andalucía;Total;Extranjera;2019;409
01 Andalucía;Total;Extranjera;2018;340
01 Andalucía;Total;Extranjera;2017;334
01 Andalucía;Total;Extranjera;2016;400
01 Andalucía;Total;Extranjera;2015;418
01 Andalucía;Total;Extranjera;2014;429
01 Andalucía;Total;Extranjera;2013;478
01 Andalucía;Hombres;Total;2021;2.109
01 Andalucía;Hombres;Total;2020;1.927
01 Andalucía;Hombres;Total;2019;2.343
01 Andalucía;Hombres;Total;2018;2.212
01 Andalucía;Hombres;Total;2017;2.257
01 Andalucía;Hombres;Total;2016;2.403
01 Andalucía;Hombres;Total;2015;2.498
