Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
Total Nacional;Total;Total;2021;282.210
Total Nacional;Total;Total;2020;221.437
Total Nacional;Total;Total;2019;286.931
Total Nacional;Total;Total;2018;286.637
Total Nacional;Total;Total;2017;285.336
Total Nacional;Total;Total;2016;271.526
Total Nacional;Total;Total;2015;222.862
Total Nacional;Total;Total;2014;218.827
Total Nacional;Total;Total;2013;219.776
Total Nacional;Total;Española;2021;212.259
Total Nacional;Total;Española;2020;165.928
Total Nacional;Total;Española;2019;215.287
Total Nacional;Total;Española;2018;218.695
Total Nacional;Total;Española;2017;220.562
Total Nacional;Total;Española;2016;208.564
Total Nacional;Total;Española;2015;170.818
Total Nacional;Total;Española;2014;166.755
Total Nacional;Total;Española;2013;164.789
Total Nacional;Total;Extranjera;2021;69.951
Total Nacional;Total;Extranjera;2020;55.509
Total Nacional;Total;Extranjera;2019;71.644
Total Nacional;Total;Extranjera;2018;67.942
Total Nacional;Total;Extranjera;2017;64.774
Total Nacional;Total;Extranjera;2016;62.962
Total Nacional;Total;Extranjera;2015;52.044
Total Nacional;Total;Extranjera;2014;52.072
Total Nacional;Total;Extranjera;2013;54.987
Total Nacional;Hombres;Total;2021;227.789
Total Nacional;Hombres;Total;2020;178.256
Total Nacional;Hombres;Total;2019;227.722
Total Nacional;Hombres;Total;2018;227.211
Total Nacional;Hombres;Total;2017;225.753
Total Nacional;Hombres;Total;2016;219.280
Total Nacional;Hombres;Total;2015;190.876
Total Nacional;Hombres;Total;2014;191.608
Total Nacional;Hombres;Total;2013;194.596
Total Nacional;Hombres;Española;2021;169.230
Total Nacional;Hombres;Española;2020;132.168
Total Nacional;Hombres;Española;2019;169.316
Total Nacional;Hombres;Española;2018;172.046
Total Nacional;Hombres;Española;2017;173.383
Total Nacional;Hombres;Española;2016;167.331
Total Nacional;Hombres;Española;2015;145.573
Total Nacional;Hombres;Española;2014;145.309
Total Nacional;Hombres;Española;2013;145.433
Total Nacional;Hombres;Extranjera;2021;58.559
Total Nacional;Hombres;Extranjera;2020;46.088
Total Nacional;Hombres;Extranjera;2019;58.406
Total Nacional;Hombres;Extranjera;2018;55.165
Total Nacional;Hombres;Extranjera;2017;52.370
Total Nacional;Hombres;Extranjera;2016;51.949
Total Nacional;Hombres;Extranjera;2015;45.303
Total Nacional;Hombres;Extranjera;2014;46.299
Total Nacional;Hombres;Extranjera;2013;49.163
Total Nacional;Mujeres;Total;2021;54.421
Total Nacional;Mujeres;Total;2020;43.181
Total Nacional;Mujeres;Total;2019;59.209
Total Nacional;Mujeres;Total;2018;59.426
Total Nacional;Mujeres;Total;2017;59.583
Total Nacional;Mujeres;Total;2016;52.246
Total Nacional;Mujeres;Total;2015;31.986
Total Nacional;Mujeres;Total;2014;27.219
Total Nacional;Mujeres;Total;2013;25.180
Total Nacional;Mujeres;Española;2021;43.029
Total Nacional;Mujeres;Española;2020;33.760
Total Nacional;Mujeres;Española;2019;45.971
Total Nacional;Mujeres;Española;2018;46.649
Total Nacional;Mujeres;Española;2017;47.179
Total Nacional;Mujeres;Española;2016;41.233
Total Nacional;Mujeres;Española;2015;25.245
Total Nacional;Mujeres;Española;2014;21.446
Total Nacional;Mujeres;Española;2013;19.356
Total Nacional;Mujeres;Extranjera;2021;11.392
Total Nacional;Mujeres;Extranjera;2020;9.421
Total Nacional;Mujeres;Extranjera;2019;13.238
Total Nacional;Mujeres;Extranjera;2018;12.777
Total Nacional;Mujeres;Extranjera;2017;12.404
Total Nacional;Mujeres;Extranjera;2016;11.013
Total Nacional;Mujeres;Extranjera;2015;6.741
Total Nacional;Mujeres;Extranjera;2014;5.773
Total Nacional;Mujeres;Extranjera;2013;5.824
01 Andalucía;Total;Total;2021;55.397
01 Andalucía;Total;Total;2020;42.464
01 Andalucía;Total;Total;2019;54.848
01 Andalucía;Total;Total;2018;56.893
01 Andalucía;Total;Total;2017;55.657
01 Andalucía;Total;Total;2016;53.174
01 Andalucía;Total;Total;2015;43.851
01 Andalucía;Total;Total;2014;42.564
01 Andalucía;Total;Total;2013;44.033
01 Andalucía;Total;Española;2021;46.442
01 Andalucía;Total;Española;2020;35.859
01 Andalucía;Total;Española;2019;46.444
01 Andalucía;Total;Española;2018;48.512
01 Andalucía;Total;Española;2017;47.837
01 Andalucía;Total;Española;2016;45.283
01 Andalucía;Total;Española;2015;37.199
01 Andalucía;Total;Española;2014;35.708
01 Andalucía;Total;Española;2013;36.605
01 Andalucía;Total;Extranjera;2021;8.955
01 Andalucía;Total;Extranjera;2020;6.605
01 Andalucía;Total;Extranjera;2019;8.404
01 Andalucía;Total;Extranjera;2018;8.381
