Lugar de condena;Nacionalidad;Periodo;Total
Total Nacional;Total;2021;410.842
Total Nacional;Total;2020;311.271
Total Nacional;Total;2019;412.571
Total Nacional;Total;2018;406.327
Total Nacional;Total;2017;394.301
Total Nacional;Total;2016;365.202
Total Nacional;Total;2015;288.756
Total Nacional;Total;2014;277.956
Total Nacional;Total;2013;275.196
Total Nacional;Española;2021;308.969
Total Nacional;Española;2020;232.479
Total Nacional;Española;2019;307.609
Total Nacional;Española;2018;307.924
Total Nacional;Española;2017;303.717
Total Nacional;Española;2016;280.750
Total Nacional;Española;2015;221.857
Total Nacional;Española;2014;213.157
Total Nacional;Española;2013;207.580
Total Nacional;País de la UE28 sin España;2021;""
Total Nacional;País de la UE28 sin España;2020;""
Total Nacional;País de la UE28 sin España;2019;33.027
Total Nacional;País de la UE28 sin España;2018;33.517
Total Nacional;País de la UE28 sin España;2017;30.470
Total Nacional;País de la UE28 sin España;2016;28.819
Total Nacional;País de la UE28 sin España;2015;21.936
Total Nacional;País de la UE28 sin España;2014;20.607
Total Nacional;País de la UE28 sin España;2013;20.889
Total Nacional;País de la UE27_2020 sin España;2021;24.610
Total Nacional;País de la UE27_2020 sin España;2020;20.332
Total Nacional;País de la UE27_2020 sin España;2019;""
Total Nacional;País de la UE27_2020 sin España;2018;""
Total Nacional;País de la UE27_2020 sin España;2017;""
Total Nacional;País de la UE27_2020 sin España;2016;""
Total Nacional;País de la UE27_2020 sin España;2015;""
Total Nacional;País de la UE27_2020 sin España;2014;""
Total Nacional;País de la UE27_2020 sin España;2013;""
Total Nacional;País de Europa menos UE28;2021;""
Total Nacional;País de Europa menos UE28;2020;""
Total Nacional;País de Europa menos UE28;2019;7.665
Total Nacional;País de Europa menos UE28;2018;5.922
Total Nacional;País de Europa menos UE28;2017;4.984
Total Nacional;País de Europa menos UE28;2016;4.289
Total Nacional;País de Europa menos UE28;2015;3.010
Total Nacional;País de Europa menos UE28;2014;2.466
Total Nacional;País de Europa menos UE28;2013;2.126
Total Nacional;País de Europa menos UE27_2020;2021;7.777
Total Nacional;País de Europa menos UE27_2020;2020;6.641
Total Nacional;País de Europa menos UE27_2020;2019;""
Total Nacional;País de Europa menos UE27_2020;2018;""
Total Nacional;País de Europa menos UE27_2020;2017;""
Total Nacional;País de Europa menos UE27_2020;2016;""
Total Nacional;País de Europa menos UE27_2020;2015;""
Total Nacional;País de Europa menos UE27_2020;2014;""
Total Nacional;País de Europa menos UE27_2020;2013;""
Total Nacional;De Africa;2021;32.696
Total Nacional;De Africa;2020;24.009
Total Nacional;De Africa;2019;30.198
Total Nacional;De Africa;2018;27.649
Total Nacional;De Africa;2017;25.859
Total Nacional;De Africa;2016;23.575
Total Nacional;De Africa;2015;18.277
Total Nacional;De Africa;2014;17.534
Total Nacional;De Africa;2013;18.152
Total Nacional;De América;2021;33.539
Total Nacional;De América;2020;25.316
Total Nacional;De América;2019;30.448
Total Nacional;De América;2018;27.879
Total Nacional;De América;2017;26.009
Total Nacional;De América;2016;24.839
Total Nacional;De América;2015;21.446
Total Nacional;De América;2014;21.997
Total Nacional;De América;2013;23.984
Total Nacional;De Asia;2021;3.237
Total Nacional;De Asia;2020;2.477
Total Nacional;De Asia;2019;3.583
Total Nacional;De Asia;2018;3.409
Total Nacional;De Asia;2017;3.228
Total Nacional;De Asia;2016;2.879
Total Nacional;De Asia;2015;2.207
Total Nacional;De Asia;2014;2.173
Total Nacional;De Asia;2013;2.153
Total Nacional;De Oceanía;2021;14
Total Nacional;De Oceanía;2020;17
Total Nacional;De Oceanía;2019;41
Total Nacional;De Oceanía;2018;27
Total Nacional;De Oceanía;2017;34
Total Nacional;De Oceanía;2016;51
Total Nacional;De Oceanía;2015;23
Total Nacional;De Oceanía;2014;22
Total Nacional;De Oceanía;2013;312
01 Andalucía;Total;2021;79.458
01 Andalucía;Total;2020;58.900
01 Andalucía;Total;2019;77.303
01 Andalucía;Total;2018;79.176
01 Andalucía;Total;2017;76.097
01 Andalucía;Total;2016;70.693
01 Andalucía;Total;2015;55.998
01 Andalucía;Total;2014;53.536
01 Andalucía;Total;2013;54.881
01 Andalucía;Española;2021;67.176
01 Andalucía;Española;2020;49.972
01 Andalucía;Española;2019;65.933
01 Andalucía;Española;2018;67.963
01 Andalucía;Española;2017;65.934
01 Andalucía;Española;2016;60.685
01 Andalucía;Española;2015;47.722
01 Andalucía;Española;2014;45.226
01 Andalucía;Española;2013;45.954
01 Andalucía;País de la UE28 sin España;2021;""
01 Andalucía;País de la UE28 sin España;2020;""
