Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
Total Nacional;Total;2021;528.856
Total Nacional;Total;2020;467.918
Total Nacional;Total;2019;750.480
Total Nacional;Total;2018;643.684
Total Nacional;Total;2017;532.132
Total Nacional;Total;2016;414.746
Total Nacional;Total;2015;342.114
Total Nacional;Total;2014;305.454
Total Nacional;Total;2013;280.772
Total Nacional;España;2021;32.382
Total Nacional;España;2020;26.426
Total Nacional;España;2019;36.227
Total Nacional;España;2018;35.031
Total Nacional;España;2017;38.408
Total Nacional;España;2016;33.820
Total Nacional;España;2015;30.329
Total Nacional;España;2014;25.700
Total Nacional;España;2013;21.595
Total Nacional;UE27_2020 sin España;2021;86.981
Total Nacional;UE27_2020 sin España;2020;69.218
Total Nacional;UE27_2020 sin España;2019;""
Total Nacional;UE27_2020 sin España;2018;""
Total Nacional;UE27_2020 sin España;2017;""
Total Nacional;UE27_2020 sin España;2016;""
Total Nacional;UE27_2020 sin España;2015;""
Total Nacional;UE27_2020 sin España;2014;""
Total Nacional;UE27_2020 sin España;2013;""
Total Nacional;UE28 sin España;2021;""
Total Nacional;UE28 sin España;2020;""
Total Nacional;UE28 sin España;2019;127.261
Total Nacional;UE28 sin España;2018;124.815
Total Nacional;UE28 sin España;2017;122.513
Total Nacional;UE28 sin España;2016;105.135
Total Nacional;UE28 sin España;2015;97.793
Total Nacional;UE28 sin España;2014;93.528
Total Nacional;UE28 sin España;2013;85.038
Total Nacional;Europa menos UE27_2020;2021;50.439
Total Nacional;Europa menos UE27_2020;2020;46.305
Total Nacional;Europa menos UE27_2020;2019;""
Total Nacional;Europa menos UE27_2020;2018;""
Total Nacional;Europa menos UE27_2020;2017;""
Total Nacional;Europa menos UE27_2020;2016;""
Total Nacional;Europa menos UE27_2020;2015;""
Total Nacional;Europa menos UE27_2020;2014;""
Total Nacional;Europa menos UE27_2020;2013;""
Total Nacional;Europa menos UE28;2021;""
Total Nacional;Europa menos UE28;2020;""
Total Nacional;Europa menos UE28;2019;30.154
Total Nacional;Europa menos UE28;2018;28.412
Total Nacional;Europa menos UE28;2017;25.224
Total Nacional;Europa menos UE28;2016;21.625
Total Nacional;Europa menos UE28;2015;23.225
Total Nacional;Europa menos UE28;2014;20.829
Total Nacional;Europa menos UE28;2013;17.728
Total Nacional;África;2021;93.400
Total Nacional;África;2020;68.658
Total Nacional;África;2019;110.455
Total Nacional;África;2018;93.098
Total Nacional;África;2017;63.842
Total Nacional;África;2016;51.291
Total Nacional;África;2015;43.603
Total Nacional;África;2014;38.736
Total Nacional;África;2013;39.207
Total Nacional;América del Norte;2021;18.258
Total Nacional;América del Norte;2020;11.817
Total Nacional;América del Norte;2019;18.519
Total Nacional;América del Norte;2018;16.338
Total Nacional;América del Norte;2017;15.087
Total Nacional;América del Norte;2016;11.834
Total Nacional;América del Norte;2015;11.500
Total Nacional;América del Norte;2014;10.377
Total Nacional;América del Norte;2013;10.265
Total Nacional;Centro América y Caribe;2021;43.563
Total Nacional;Centro América y Caribe;2020;50.111
Total Nacional;Centro América y Caribe;2019;87.821
Total Nacional;Centro América y Caribe;2018;69.490
Total Nacional;Centro América y Caribe;2017;53.530
Total Nacional;Centro América y Caribe;2016;38.186
Total Nacional;Centro América y Caribe;2015;30.178
Total Nacional;Centro América y Caribe;2014;27.940
Total Nacional;Centro América y Caribe;2013;26.189
Total Nacional;Sudamérica;2021;167.127
Total Nacional;Sudamérica;2020;167.568
Total Nacional;Sudamérica;2019;287.773
Total Nacional;Sudamérica;2018;229.311
Total Nacional;Sudamérica;2017;173.054
Total Nacional;Sudamérica;2016;118.251
Total Nacional;Sudamérica;2015;75.688
Total Nacional;Sudamérica;2014;59.853
Total Nacional;Sudamérica;2013;51.178
Total Nacional;Asia;2021;35.919
Total Nacional;Asia;2020;27.119
Total Nacional;Asia;2019;51.156
Total Nacional;Asia;2018;46.180
Total Nacional;Asia;2017;39.554
Total Nacional;Asia;2016;33.830
Total Nacional;Asia;2015;29.113
Total Nacional;Asia;2014;27.876
Total Nacional;Asia;2013;28.961
Total Nacional;Oceanía ;2021;787
Total Nacional;Oceanía ;2020;696
Total Nacional;Oceanía ;2019;1.114
Total Nacional;Oceanía ;2018;1.009
Total Nacional;Oceanía ;2017;920
Total Nacional;Oceanía ;2016;775
Total Nacional;Oceanía ;2015;684
Total Nacional;Oceanía ;2014;614
Total Nacional;Oceanía ;2013;611
01 Andalucía;Total;2021;78.116
01 Andalucía;Total;2020;66.443
01 Andalucía;Total;2019;91.309
01 Andalucía;Total;2018;74.070
01 Andalucía;Total;2017;62.618
01 Andalucía;Total;2016;49.990
01 Andalucía;Total;2015;43.016
01 Andalucía;Total;2014;40.124
01 Andalucía;Total;2013;37.137
01 Andalucía;España;2021;4.169
01 Andalucía;España;2020;3.579
01 Andalucía;España;2019;4.786
01 Andalucía;España;2018;4.205
01 Andalucía;España;2017;4.578
01 Andalucía;España;2016;4.090
01 Andalucía;España;2015;3.721
01 Andalucía;España;2014;3.164
01 Andalucía;España;2013;2.699
01 Andalucía;UE27_2020 sin España;2021;15.266
01 Andalucía;UE27_2020 sin España;2020;10.966
