Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;Total Nacional;Total;2022;39.925,1
Ambos sexos;Total Nacional;Total;2021;39.654,2
Ambos sexos;Total Nacional;Total;2020;39.578,8
Ambos sexos;Total Nacional;Total;2019;39.269,3
Ambos sexos;Total Nacional;Total;2018;38.886,8
Ambos sexos;Total Nacional;Total;2017;38.654,1
Ambos sexos;Total Nacional;Total;2016;38.531,5
Ambos sexos;Total Nacional;Total;2015;38.497,6
Ambos sexos;Total Nacional;Total;2014;38.514,6
Ambos sexos;Total Nacional;Analfabetos;2022;518
Ambos sexos;Total Nacional;Analfabetos;2021;521,7
Ambos sexos;Total Nacional;Analfabetos;2020;556,2
Ambos sexos;Total Nacional;Analfabetos;2019;577,6
Ambos sexos;Total Nacional;Analfabetos;2018;608
Ambos sexos;Total Nacional;Analfabetos;2017;656,7
Ambos sexos;Total Nacional;Analfabetos;2016;674,3
Ambos sexos;Total Nacional;Analfabetos;2015;714,8
Ambos sexos;Total Nacional;Analfabetos;2014;733,9
Ambos sexos;Total Nacional;Estudios primarios incompletos;2022;1.664,1
Ambos sexos;Total Nacional;Estudios primarios incompletos;2021;1.740,5
Ambos sexos;Total Nacional;Estudios primarios incompletos;2020;1.871,1
Ambos sexos;Total Nacional;Estudios primarios incompletos;2019;2.011,8
Ambos sexos;Total Nacional;Estudios primarios incompletos;2018;2.235,9
Ambos sexos;Total Nacional;Estudios primarios incompletos;2017;2.284,2
Ambos sexos;Total Nacional;Estudios primarios incompletos;2016;2.425,1
Ambos sexos;Total Nacional;Estudios primarios incompletos;2015;2.605,3
Ambos sexos;Total Nacional;Estudios primarios incompletos;2014;2.695,6
Ambos sexos;Total Nacional;Educación primaria;2022;4.239,8
Ambos sexos;Total Nacional;Educación primaria;2021;4.257,7
Ambos sexos;Total Nacional;Educación primaria;2020;4.569,5
Ambos sexos;Total Nacional;Educación primaria;2019;4.972,7
Ambos sexos;Total Nacional;Educación primaria;2018;5.138,7
Ambos sexos;Total Nacional;Educación primaria;2017;5.312,8
Ambos sexos;Total Nacional;Educación primaria;2016;5.515,6
Ambos sexos;Total Nacional;Educación primaria;2015;5.660,9
Ambos sexos;Total Nacional;Educación primaria;2014;5.980,9
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2022;11.468,1
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2021;11.363,2
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2020;11.409,4
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2019;11.300,3
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2018;11.188,5
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2017;11.183,8
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2016;11.039,9
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2015;10.986,2
Ambos sexos;Total Nacional;Primera etapa de educación secundaria y similar;2014;10.861,6
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2022;5.679,7
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2021;5.625,6
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2020;5.575,9
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2019;5.417,7
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2018;5.309,8
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2017;5.275,6
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2016;5.191,6
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2015;5.109,4
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria, con orientación general;2014;5.032,8
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;3.329,9
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;3.325,6
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;3.210,7
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;3.093,9
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;3.039,7
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;2.908,4
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;2.871,3
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;2.819,1
Ambos sexos;Total Nacional;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;2.729
Ambos sexos;Total Nacional;Educación superior;2022;13.025,6
Ambos sexos;Total Nacional;Educación superior;2021;12.819,9
Ambos sexos;Total Nacional;Educación superior;2020;12.386,1
Ambos sexos;Total Nacional;Educación superior;2019;11.895,2
Ambos sexos;Total Nacional;Educación superior;2018;11.366,1
Ambos sexos;Total Nacional;Educación superior;2017;11.032,6
Ambos sexos;Total Nacional;Educación superior;2016;10.813,7
Ambos sexos;Total Nacional;Educación superior;2015;10.601,8
Ambos sexos;Total Nacional;Educación superior;2014;10.480,8
Ambos sexos;01 Andalucía;Total;2022;7.107,9
Ambos sexos;01 Andalucía;Total;2021;7.054,4
Ambos sexos;01 Andalucía;Total;2020;7.020,6
Ambos sexos;01 Andalucía;Total;2019;6.969,6
Ambos sexos;01 Andalucía;Total;2018;6.918,5
Ambos sexos;01 Andalucía;Total;2017;6.902,1
Ambos sexos;01 Andalucía;Total;2016;6.891
Ambos sexos;01 Andalucía;Total;2015;6.879,2
Ambos sexos;01 Andalucía;Total;2014;6.864,9
Ambos sexos;01 Andalucía;Analfabetos;2022;164,9
Ambos sexos;01 Andalucía;Analfabetos;2021;168,3
Ambos sexos;01 Andalucía;Analfabetos;2020;178,3
Ambos sexos;01 Andalucía;Analfabetos;2019;178,5
Ambos sexos;01 Andalucía;Analfabetos;2018;192,8
Ambos sexos;01 Andalucía;Analfabetos;2017;214,9
Ambos sexos;01 Andalucía;Analfabetos;2016;219,4
Ambos sexos;01 Andalucía;Analfabetos;2015;242,4
Ambos sexos;01 Andalucía;Analfabetos;2014;258,4
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2022;459,2
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2021;482,3
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2020;534,3
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2019;589,9
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2018;619,7
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2017;609,6
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2016;649,3
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2015;681,6
Ambos sexos;01 Andalucía;Estudios primarios incompletos;2014;677,4
Ambos sexos;01 Andalucía;Educación primaria;2022;762,9
Ambos sexos;01 Andalucía;Educación primaria;2021;783,4
Ambos sexos;01 Andalucía;Educación primaria;2020;867,3
Ambos sexos;01 Andalucía;Educación primaria;2019;872,3
Ambos sexos;01 Andalucía;Educación primaria;2018;886,8
Ambos sexos;01 Andalucía;Educación primaria;2017;911,7
Ambos sexos;01 Andalucía;Educación primaria;2016;911,2
Ambos sexos;01 Andalucía;Educación primaria;2015;955,8
Ambos sexos;01 Andalucía;Educación primaria;2014;1.003,1
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2022;2.196,1
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2021;2.204,6
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2020;2.186,8
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2019;2.175,8
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2018;2.153,6
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2017;2.208,7
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2016;2.177,1
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2015;2.124,2
Ambos sexos;01 Andalucía;Primera etapa de educación secundaria y similar;2014;2.136,9
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2022;909
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2021;850,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2020;863,1
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2019;866,5
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2018;855,2
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2017;830,2
Ambos sexos;01 Andalucía;Segunda etapa de educación secundaria, con orientación general;2016;818,7
