Edad simple;Comunidades y ciudades autónomas;Sexo;Periodo;Total
16 años;Total Nacional;Total;2021;491.181
16 años;Total Nacional;Total;2020;481.683
16 años;Total Nacional;Total;2019;460.587
16 años;Total Nacional;Total;2018;454.307
16 años;Total Nacional;Total;2017;452.389
16 años;Total Nacional;Total;2016;439.888
16 años;Total Nacional;Total;2015;426.068
16 años;Total Nacional;Total;2014;429.185
16 años;Total Nacional;Total;2013;425.806
16 años;Total Nacional;Hombres;2021;252.882
16 años;Total Nacional;Hombres;2020;247.308
16 años;Total Nacional;Hombres;2019;237.187
16 años;Total Nacional;Hombres;2018;233.105
16 años;Total Nacional;Hombres;2017;233.573
16 años;Total Nacional;Hombres;2016;225.884
16 años;Total Nacional;Hombres;2015;220.158
16 años;Total Nacional;Hombres;2014;220.583
16 años;Total Nacional;Hombres;2013;218.454
16 años;Total Nacional;Mujeres;2021;238.299
16 años;Total Nacional;Mujeres;2020;234.375
16 años;Total Nacional;Mujeres;2019;223.400
16 años;Total Nacional;Mujeres;2018;221.202
16 años;Total Nacional;Mujeres;2017;218.816
16 años;Total Nacional;Mujeres;2016;214.004
16 años;Total Nacional;Mujeres;2015;205.910
16 años;Total Nacional;Mujeres;2014;208.602
16 años;Total Nacional;Mujeres;2013;207.352
16 años;01 Andalucía;Total;2021;94.904
16 años;01 Andalucía;Total;2020;92.743
16 años;01 Andalucía;Total;2019;89.262
16 años;01 Andalucía;Total;2018;89.222
16 años;01 Andalucía;Total;2017;89.357
16 años;01 Andalucía;Total;2016;88.117
16 años;01 Andalucía;Total;2015;86.110
16 años;01 Andalucía;Total;2014;86.525
16 años;01 Andalucía;Total;2013;86.077
16 años;01 Andalucía;Hombres;2021;48.877
16 años;01 Andalucía;Hombres;2020;47.522
16 años;01 Andalucía;Hombres;2019;45.812
16 años;01 Andalucía;Hombres;2018;45.744
16 años;01 Andalucía;Hombres;2017;46.373
16 años;01 Andalucía;Hombres;2016;45.576
